Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2018-01-02,103.41281127929688,103.7882463074312,102.93681367935595,103.58042269925627,4395815
2018-01-03,106.25542449951172,107.14038166700816,104.80730401598878,105.48443754822272,9875914
2018-01-04,108.40745544433594,108.82311330933366,106.84536514278288,107.03308263346779,7903785
2018-01-05,108.93708801269531,109.21197114660181,108.00519898436481,108.90357429182666,5434807
2018-01-08,109.59412384033203,109.88911311844338,108.40747896312976,109.05108804249136,5478425
2018-01-09,109.83545684814453,110.30474521644881,109.3192257324624,109.88237819468019,4541523
2018-01-10,110.07012176513672,110.17068433671449,108.94380598287403,109.21867843857629,4366109
2018-01-11,110.08352661132812,110.57963029170456,109.48014049669476,110.48577688746882,3969047
2018-01-12,109.37286376953125,110.44554895763775,109.29912716263787,109.9628422280531,5263367
2018-01-16,109.84886169433594,110.81426436220445,109.5136496109372,110.68688655262235,8152733
2018-01-17,113.06688690185547,113.38868063290417,112.13499802334982,112.63781075975719,12248660
2018-01-18,113.38203430175781,114.72958161525261,112.73172667688819,113.97200223043106,14915228
2018-01-19,108.85665893554688,110.88803800933351,108.1393025525387,110.2578472751318,22146435
2018-01-22,109.0108642578125,109.93605506774344,108.011936822143,108.28011086281346,8870917
2018-01-23,111.45791625976562,111.46462542621467,108.95053918134062,109.15836283488663,7809645
2018-01-24,110.86793518066406,113.11384710885895,110.49919858032295,111.79311521370798,5904670
2018-01-25,110.93500518798828,111.81326411532922,110.74728760130331,111.22999455296184,3454415
2018-01-26,112.18866729736328,112.23559935575824,111.14950634912641,111.37074830976799,3962143
2018-01-29,111.82665252685547,112.89262885763809,111.29701359446491,112.26242733182558,3678782
2018-01-30,109.6946792602539,111.80651472627785,109.38629307191377,111.43107968796758,5127806
2018-01-31,109.74832916259766,110.6131695120782,109.11812770530634,109.78184288981112,4260149
2018-02-01,108.87677764892578,110.03660725930746,108.54156547997793,109.40640581358385,4638173
2018-02-02,106.61743927001953,108.60859533527298,106.51016753199993,108.4074701893561,5493487
2018-02-05,102.25969696044922,106.26212649449012,100.56352989144409,105.85316697539207,9148944
2018-02-06,104.1435775756836,104.24414014974415,99.96683871812287,100.75794238118368,10321614
2018-02-07,103.1446762084961,104.1436037353085,102.76253191082218,103.35920904035184,6432063
2018-02-08,99.92203521728516,103.69305768512677,99.86110142787435,103.23268826429727,7090939
2018-02-09,101.22190856933594,101.91923779555192,97.76230929882682,100.60580637105086,8188402
2018-02-12,102.50147247314453,103.17849762919431,101.75674912380062,102.16295989511966,6151944
2018-02-13,102.06144714355469,102.35257650309428,101.30995908367858,102.16299987612662,5115986
2018-02-14,104.77626037597656,104.93874681049886,101.55362176276351,101.68225370507602,5731034
2018-02-15,105.6225814819336,106.1980540671487,104.05865023041699,105.27730441427214,5882286
2018-02-16,105.7376480102539,106.82765912466641,105.40591066515202,105.41945030337392,4479913
2018-02-20,105.04706573486328,105.58868359082538,104.17371058907342,105.47359128222747,4696122
2018-02-21,104.23470306396484,106.15067609295218,104.19407332740744,105.22992629978212,3900116
2018-02-22,103.70658874511719,104.96586174192034,103.4425495500385,104.60026984148665,4209732
2018-02-23,105.29080963134766,105.51421904642481,104.30911570388237,104.46483773922346,3405881
2018-02-26,107.36253356933594,107.56563898800714,105.28406362516871,105.48716904383991,3776374
2018-02-27,105.98817443847656,108.17496163879181,105.97463479681667,107.28129126034186,4432216
2018-02-28,105.50067901611328,107.06460975047943,105.4803749634233,106.6313089474908,3978461
2018-03-01,104.13311767578125,106.27252138953256,103.44255277437507,105.29760242080194,4225108
2018-03-02,104.59351348876953,104.77631487485586,102.82647664638978,103.44256821272612,3411111
2018-03-05,106.25892639160156,106.62451811297039,104.09244452500984,104.34294395706647,3839448
2018-03-06,105.42623138427734,106.89537421268358,105.04709984258123,106.4823989729714,3855242
2018-03-07,107.18648529052734,107.53176226978765,104.75596357453637,104.93876489704589,4819654
2018-03-08,105.75798034667969,108.03278041896229,104.98616681160719,107.64687365142603,6752558
2018-03-09,107.85675811767578,108.03954867325724,106.4959431598491,106.61103551072982,5253221
2018-03-12,108.4999008178711,109.01443945784237,107.55883658416339,108.08015044574171,5296421
2018-03-13,107.86351776123047,109.75241086022795,107.5182299526828,108.38482087657643,4378138
2018-03-14,107.0511245727539,108.78430705486599,106.79384972633443,108.43901911994692,3798863
2018-03-15,108.05982971191406,109.17015556189656,107.32187088567194,107.45051364300303,4048648
2018-03-16,108.4999008178711,109.66438527796949,108.08015044574171,108.36449363771526,9688784
2018-03-19,106.52977752685547,108.24941983339546,105.92046132059073,108.12755226983134,5734172
2018-03-20,105.75122833251953,106.92248853264114,105.13513673618463,106.64489882785736,4536188
2018-03-21,106.08294677734375,107.10524900066287,105.5616328316335,106.00169813382755,3642381
2018-03-22,102.9686050415039,105.1079971455047,102.90767127813447,104.93874629683376,4964630
2018-03-23,100.80213928222656,103.30035915271391,100.56517941086403,103.07693891921983,4645181
2018-03-26,103.8352279663086,104.03155814721377,101.74321853522135,102.3728496090825,4292679
2018-03-27,102.84678649902344,104.85078320086852,102.33901209961657,104.22791644062482,4062350
